local_work_id,work_group_id,mapping_status,mapping_confidence,identity_source,verification_status,canonical_title,canonical_author,canonical_publisher,canonical_year,isbn_10,isbn_13,doi,ocaid,lccn,primary_identifier_type,primary_identifier,document_type,external_url,ol_work_key,ol_edition_key,openlibrary_action,local_pdf_count,local_folders,local_paths_json,notes
OLP-FF64695BFF73641D,doi:10.24201/edu.v37i3.2048,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,"Factores determinantes de la relación entre la localización de las empresas, la dinámica del transporte público tipo BRT y el desarrollo urbano",Diego Rafael Roberto Cabrera-Moya,"El Colegio de Mexico, A.C.",2022,,,10.24201/edu.v37i3.2048,,,doi,10.24201/edu.v37i3.2048,journal-article,https://doi.org/10.24201/edu.v37i3.2048,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS América Latina,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2022_Factores_BRT_Latam.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-222CEE8A9EDED40C,doi:10.5194/isprs-archives-xlviii-4-w5-2022-113-2022,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,A SPATIO-TEMPORAL VISUAL ANALYTICS TOOL FOR SIMULATED TRANSPORT ORIENTED-LAND USE URBAN PLANNING DATA,,Copernicus GmbH,2022,,,10.5194/isprs-archives-XLVIII-4-W5-2022-113-2022,,,doi,10.5194/isprs-archives-XLVIII-4-W5-2022-113-2022,journal-article,https://doi.org/10.5194/isprs-archives-xlviii-4-w5-2022-113-2022,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS Colombia,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/2022_Analytics_tool_Simulated_DOTS.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-2105907BF1D027D1,doi:10.5198/jtlu.2022.1888,AUTHORITY_MAPPED,0.948,crossref_title,VERIFIED_EXTERNAL,Bus rapid transit impacts on land uses and development over time in Bogotá and Quito,C. Erik Vergel-Tovar; Daniel A. Rodriguez,Center for Transportation Studies,2022,,,10.5198/jtlu.2022.1888,,,doi,10.5198/jtlu.2022.1888,journal-article,https://doi.org/10.5198/jtlu.2022.1888,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS América Latina,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/VergelTovar-Busrapidtransit-2022.pdf""]",Near-exact long-title search recovered authoritative Crossref DOI metadata for a non-book publication
OLP-AFAB59165588CEBC,doi:10.5821/siiu.10156,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,Valoración del entorno de una estación ferroviaria inactiva mediante estándar DOT: avance metodológico para el caso del Gran Santa Fe (Argentina),María Alejandra Saus; Andrés Ignacio Aguirre,Universitat Politècnica de Catalunya,2022,,,10.5821/siiu.10156,,,doi,10.5821/siiu.10156,proceedings-article,https://doi.org/10.5821/siiu.10156,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS América Latina,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2021_DOTS_SantaFe.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-D0DCBDFD40A25E71,doi:10.7764/eure.49.148.11,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,"Entorno urbano, densidad poblacional y uso del Sistema de Autobuses de Transporte Rápido en Quito",Alba Núñez,Pontificia Universidad Catolica de Chile,2023,,,10.7764/eure.49.148.11,,,doi,10.7764/eure.49.148.11,journal-article,https://doi.org/10.7764/eure.49.148.11,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS América Latina,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2023_BRT_Quito.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-71588BA9FADC3293,ol:/works/OL10729940W,OPENLIBRARY_LINKED,1.000,verified_manifest,MATCHED,"Applying DOT's Rail Policy to Washington, D.C.'s Metrorail System Could Save Federal Funds",United States General Accounting Office,United States General Accounting Office,1983,,,,,,openlibrary_work,/works/OL10729940W,report,https://www.gao.gov/assets/122342.pdf,/works/OL10729940W,/books/OL14900732M,READY_TO_ADD,1,DOTS Europa & Estados Unidos,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS Europa & Estados Unidos/Applying DOT Rail Policy to Washington, D.C.'s Metrorail System Could Save Federal Funds.pdf""]","Official GAO publications catalog verifies the canonical title, report number GAO/RCED-83-24, responsible organization, and publication date of 12 January 1983"
OLP-CC8F084DD3C010C8,ol:/works/OL15596836W,OPENLIBRARY_LINKED,0.995,openlibrary,MATCHED,Driving and the built environment,,"Academy of Sciences, the National Academy of Engineering, and the Institute of Medicine. The",2009,,9780309142557,,,,openlibrary_work,/works/OL15596836W,book,,/works/OL15596836W,/books/OL24547420M,READY_TO_ADD,1,Planeación territorial,"[""5 DOT y planeación urbana (Gregor Wessels)/Planeación territorial/TRB-landuse-VMT.pdf""]",
OLP-F5E0D959F74918D5,ol:/works/OL16560037W,OPENLIBRARY_LINKED,1.000,verified_manifest,MATCHED,Growing Cooler: The Evidence on Urban Development and Climate Change,Reid H. Ewing; Keith Bartholomew; Steve Winkelman; Jerry Walters; Don Chen,Urban Land Institute,2008,0874200822,9780874200829,,,,openlibrary_work,/works/OL16560037W,book,https://books.google.com/books/about/Growing_Cooler.html?id=5cskAQAAMAAJ,/works/OL16560037W,/books/OL37141743M,READY_TO_ADD,1,Smart Growth,"[""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Smart Growth/landuse-globalwarming-GrowingCooler9-18-07small.pdf""]","Title and authors match the local PDF; the PDF's printed ISBN-13 ends in 2 and fails checksum, while the verified print ISBN-13 ends in 9"
OLP-CE42BA927A24C8A1,ol:/works/OL22324214W,OPENLIBRARY_LINKED,1.000,crossref,MATCHED,Financing Transit-Oriented Development with Land Values: Adapting Land Value Capture in Developing Countries,Hiroaki Suzuki; Jin Murakami; Yu-Hung Hong; Beth Tamayose,The World Bank,2015,,9781464801495,10.1596/978-1-4648-0149-5,,,openlibrary_work,/works/OL22324214W,book,https://doi.org/10.1596/978-1-4648-0149-5,/works/OL22324214W,/books/OL30404172M,READY_TO_ADD,2,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Suzuki.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/World Bank 2015 financing with value capture.pdf""]",Exact DOI metadata led to Open Library via ISBN
OLP-74079746AA6C346B,ol:/works/OL23221866W,OPENLIBRARY_LINKED,0.995,openlibrary,MATCHED,"Planning, connecting, and financing cities--now",Somik V. Lall,the World Bank’s Urbanization,2013,,9780821398395,10.1596/978-0-,,,openlibrary_work,/works/OL23221866W,journal-article,,/works/OL23221866W,/books/OL31057229M,READY_TO_ADD,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/BANCO MUNDIAL 2013 Urbanization-Planning-Connecting-Financing.pdf""]",
OLP-E86B2F0A2638878F,ol:/works/OL24074484W,OPENLIBRARY_LINKED,0.938,library_of_congress,MATCHED,This is smart growth,United States. Environmental Protection Agency.; Smart Growth Network.,U.S. Environmental Protection Agency,2006,,,,,2007361835,openlibrary_work,/works/OL24074484W,book,https://lccn.loc.gov/2007361835,/works/OL24074484W,/books/OL16240459M,READY_TO_ADD,1,Smart Growth,"[""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Smart Growth/Smart-growth-this-is-smart-growth.pdf""]",Library of Congress identifier and metadata resolved to an existing Open Library Work
OLP-85ED539CECC428C7,ol:/works/OL27350490W,OPENLIBRARY_LINKED,0.995,openlibrary,MATCHED,Transforming Cities with Transit,Hiroaki Suzuki; Robert Cervero; Kanako Luchi,THE WORLD BANK,2013,,9780821397459,10.1596/978-0-8213-9745-9,,,openlibrary_work,/works/OL27350490W,journal-article,,/works/OL27350490W,/books/OL37156320M,READY_TO_ADD,1,Teoria DOTS,"[""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/World Bank transit book 2013.pdf""]",
OLP-604DD9D9B0AC494F,ol:/works/OL32187232W,OPENLIBRARY_LINKED,1.000,verified_manifest,MATCHED,"Public Transportation: Federal Role in Value Capture Strategies for Transit Is Limited, but Additional Guidance Could Help Clarify Policies",United States Government Accountability Office,United States Government Accountability Office,2010,,,,,,openlibrary_work,/works/OL32187232W,report,https://www.gao.gov/products/gao-10-781,/works/OL32187232W,/books/OL43926837M,READY_TO_ADD,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/TRB Land value capture d10781.pdf""]","Official GAO product record verifies title, report number GAO-10-781, responsible organization, publication date, and 55-page report format"
OLP-8626997ABCDFB9BA,parent:acosta-instrumentos-financiacion-2010,AUTHORITY_MAPPED,1.000,verified_manifest,VERIFIED_NONBOOK,Instrumentos de financiación del desarrollo urbano en Colombia: la contribución por valorización y la participación en plusvalías. Lecciones y reflexiones,Patricia Acosta Restrepo,Universidad del Rosario,2010,,,10.12804/revistas.urosario.edu.co/desafios/a.1289,,,doi,10.12804/revistas.urosario.edu.co/desafios/a.1289,article,https://revistas.urosario.edu.co/index.php/desafios/article/view/1289,,,EXTERNAL_OR_LOCAL_ONLY,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Instrumentos de financiacion del desarrollo urbano, lecciones colombia Acosta Patricia.pdf""]","Official journal and university research records verify the canonical title, author, year, journal issue, pages, publisher, and DOI"
OLP-107AD4B268EAD126,parent:acosta-policy-learning-2008,AUTHORITY_MAPPED,1.000,verified_manifest,CREATE_CANDIDATE,Policy Learning: New Challenges for Smart Value Capture in Colombia,Patricia Acosta,Massachusetts Institute of Technology,2008,,,,,,url,https://hdl.handle.net/1721.1/44373,dissertation,https://hdl.handle.net/1721.1/44373,,,CREATE_RECORD_CANDIDATE,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/ACOSTA PATRICIA 2008 Policy Learningn new Challenges for Smart Value capture in colombia.pdf""]","MIT thesis metadata and the thesis title page verify the canonical title, author, institution, degree, and May 2008 date"
OLP-E95272A13E76C8F1,parent:adec-value-capture-transit-2010,AUTHORITY_MAPPED,1.000,verified_manifest,CREATE_CANDIDATE,Value Capture from Transit-Oriented Development and Other Transportation Interchanges,African Development Economic Consultants; BKS Engineers,Urban LandMark,2010,,,,,,url,https://www.citiesalliance.org/sites/default/files/value_capture_transit.pdf,consultant-report,https://www.citiesalliance.org/sites/default/files/value_capture_transit.pdf,,,CREATE_RECORD_CANDIDATE,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/value_capture_transit.pdf""]","Cities Alliance-hosted report and Urban LandMark learning materials verify the canonical title, corporate authors, commissioning publisher, 2009-2010 study period, and consultant-report format"
OLP-FA52DE6F26DB5017,parent:anpur-2011-diaz-velasco,AUTHORITY_MAPPED,1.000,verified_manifest,VERIFIED_NONBOOK,Las diferencias en la aplicación de instrumentos de planificación y,Fabián Alberto Díaz; Vanessa Velasco Bernal,Associação Nacional de Pós-Graduação e Pesquisa em Planejamento Urbano e Regional (ANPUR),2011,,,,,,url,https://anpur.org.br/site/anais/ena14/ARQUIVOS/GT1-1133-756-20110106190706.pdf,proceedings-article,https://anpur.org.br/site/anais/ena14/ARQUIVOS/GT1-1133-756-20110106190706.pdf,,,EXTERNAL_OR_LOCAL_ONLY,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/DIAZ FABIAN ALBERTO 2011 Las diferencias de aplicacion de instrumentos ANPUR.pdf""]","Paper in the anais of the XIV Encontro Nacional da ANPUR, Rio de Janeiro, May 2011; the official ANPUR PDF was downloaded and prints exactly the same truncated title ending in 'y', so the printed title is reproduced verbatim rather than reconstructed; a conference paper, not an Open Library book"
OLP-CEFD6255E5CA8AAB,parent:araya-dotp-costa-rica-2022,AUTHORITY_MAPPED,1.000,verified_manifest,CREATE_CANDIDATE,Implementación del desarrollo orientado al transporte público en la Gran Área Metropolitana utilizando el tren urbano,Enoc Adolfo Araya Porras,Universidad de Costa Rica,2022,,,,,,url,https://hdl.handle.net/10669/87649,dissertation,https://hdl.handle.net/10669/87649,,,CREATE_RECORD_CANDIDATE,1,DOTS América Latina,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2022_DOTS__Costa_Rica.pdf""]","Official Universidad de Costa Rica repository and local thesis title page verify the canonical title, author, institution, year, degree, and repository identifier"
OLP-271A3923F43E58F6,parent:ardila-coordination-transport-landuse-2006,AUTHORITY_MAPPED,1.000,verified_manifest,VERIFIED_NONBOOK,Improving Coordination of Transportation and Land-Use Planning in Latin American Cities: overcoming the barriers,Arturo Ardila,"Universidad de los Andes, Transportation Studies Group",2006,,,,,,local_work,OLP-271A3923F43E58F6,presentation,,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS América Latina,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/Improving Coordination of Transportation and Land-Use Planning in Latin American Cities.pdf""]","Slide deck presented at Clean Air in Latin America, São Paulo, 2006; slide 1 verifies the title, the author and the Transportation Studies Group at Universidad de los Andes, and every slide footer repeats the event and year; no public archive copy was located, and slides are not an Open Library book"
OLP-22E6A75FA2052F64,parent:atlas-accessibility-zmvm-2010,AUTHORITY_MAPPED,1.000,verified_manifest,PARENT_COMPONENT,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,Centro de Transporte Sustentable de México A.C.,2010,,,,,,url,https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf,report,https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf,,,CREATE_RECORD_CANDIDATE,5,Atlas de Accesibilidad y Conectividad,"[""5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_introduccion.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion1_generalidades.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion2_sociodemografico.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion3_sociodeconomico.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion4_proximidad_peatonal_movilidadnomotorizada.pdf""]",The five local PDFs are named sections of one verified parent atlas; do not treat them as five books
OLP-932A761B1468DA4F,parent:bogota-21-2012,AUTHORITY_MAPPED,1.000,verified_manifest,CREATE_CANDIDATE,"Bogotá 21: Towards a World-Class, Transit-Oriented Metropolis",Gregor Wessels; Carlos Felipe Pardo; Juan Pablo Bocarejo,Fundación Despacio,2012,,9789585767409,,,,isbn_13,9789585767409,report,https://despacio.org/wp-content/uploads/2012/10/Bogota-21-english.pdf,,,CREATE_RECORD_CANDIDATE,3,Bogota 21 Transit-oriented Metropolis,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Bogota 21 Transit-oriented Metropolis/Bogota 21 engish digital 31-10-12.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Bogota 21 Transit-oriented Metropolis/Bogota 21 espanol digital 31-10-12.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Bogota 21 Transit-oriented Metropolis/Bogota 21_Towards a worldclass transit-oriented Metropolis.pdf""]",Full English publication; ISBN and coordinating lead authors verified on the copyright page | Full Spanish language edition of the same intellectual work; ISBN and authors verified in the local PDF | Byte-identical local PDF; verified metadata links it to the same intellectual work
OLP-96C978E03B2B52BD,parent:bogota-pot-cg7-2021,AUTHORITY_MAPPED,1.000,verified_manifest,VERIFIED_NONBOOK,CG-7 Actuaciones Estratégicas,Secretaría Distrital de Planeación de Bogotá,Secretaría Distrital de Planeación de Bogotá,2021,,,,,,url,https://concejodebogota.gov.co/consulte-aqui-los-documentos-radicados-por-la-administracion-distrital/cbogota/2021-09-11/121910.php,map,https://concejodebogota.gov.co/consulte-aqui-los-documentos-radicados-por-la-administracion-distrital/cbogota/2021-09-11/121910.php,,,EXTERNAL_OR_LOCAL_ONLY,1,Carto,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Bogotá/POT Bogotá 2022- Documentos relevantes DOTS/Carto/cg-7_actuaciones_estrategicas.pdf""]","Official POT map/document, not a book"
OLP-677C7DA09DD3A7D4,parent:bogota-resolution-0958-2023,AUTHORITY_MAPPED,1.000,verified_manifest,VERIFIED_NONBOOK,Resolución 0958 de 2023: Directrices para la formulación de la Actuación Estratégica Chucua La Vaca,Secretaría Distrital de Planeación de Bogotá,Secretaría Distrital de Planeación de Bogotá,2023,,,,,,local_work,OLP-677C7DA09DD3A7D4,legal-document,,,,EXTERNAL_OR_LOCAL_ONLY,1,Proyectos DOTS,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Proyectos DOTS/Resolucion_0958_DOT_Villa_Nelly.pdf""]",Official administrative resolution verified visually on the local first page; not a book
OLP-1BB1281209DDE5A8,parent:borrero-land-policy-prices-bogota-2007,AUTHORITY_MAPPED,1.000,verified_manifest,CREATE_CANDIDATE,The Effects of Land Policy on Urban Land Prices in Bogotá,Oscar Borrero,Lincoln Institute of Land Policy,2007,,,,,,url,https://www.lincolninst.edu/publications/working-papers/effects-land-policy-urban-land-prices-bogota/,working-paper,https://www.lincolninst.edu/publications/working-papers/effects-land-policy-urban-land-prices-bogota/,,,CREATE_RECORD_CANDIDATE,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Impactos_Regulaciones_Precios-Borrero_Oscar-2007.pdf""]","Official Lincoln Institute working-paper page verifies the canonical title, author, publisher, September 2007 date, language, and pagination"
OLP-CB3DFDBF714E54AE,parent:caf-value-capture-transport-2019,AUTHORITY_MAPPED,1.000,verified_manifest,CREATE_CANDIDATE,"Creación y captura de valor para el desarrollo de proyectos de transporte: Informe 3, informe final",Infratrans Consultancy LAC SAS; Juan Felipe Pinilla Pineda,CAF,2014,,9789804221279,,,,isbn_13,9789804221279,consultant-report,https://scioteca.caf.com/handle/123456789/1404,,,CREATE_RECORD_CANDIDATE,2,Captura de valor; DOTS América Latina,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/CAF (2014) Creación y captura valor para proyectos de transporte.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/1 Creacion y captura de valor para el desarrollo de proyectos de transporte-28feb.pdf""]","Local consultant-report title page verifies the June 2014 version; it is the earlier final project report underlying the verified 2019 CAF book, so it is grouped as an alternate edition of the same intellectual work | Official CAF repository metadata and the publication copyright page verify canonical title, authors, publisher, year, document type, and checksum-valid ISBN"
OLP-5E5D407E1AAC85B5,parent:cavadia-ub-2019,AUTHORITY_MAPPED,1.000,verified_manifest,CREATE_CANDIDATE,"Potencial del Desarrollo Orientado al Transporte como transformador urbano. Caso de estudio: Transmilenio, Bogotá, Colombia, 2019",Paola M. Cavadía Álvarez,Universitat de Barcelona,2019,,,,,,url,https://hdl.handle.net/2445/140558,dissertation,https://hdl.handle.net/2445/140558,,,CREATE_RECORD_CANDIDATE,1,DOTS Colombia,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/2019_Potencial_DOTS_TM.pdf""]","Treball de fi de màster for the Màster en Planificació Territorial i Gestió Ambiental, Universitat de Barcelona through the Centro Universitario Internacional de Barcelona (UNIBA), tutor Verónica I. Quiroz López; the UB repository record at handle 2445/140558 (file TFM_Cavadia_Paola.pdf) matches the local PDF, whose cover is dated Barcelona, 30 July 2019"
